geoName,interest,candidate,date_collect,dateid
Haute-Normandie,0,ahidalgo,20211121_1000,20211121
Languedoc-Roussillon,0,ahidalgo,20211121_1000,20211121
Limousin,0,ahidalgo,20211121_1000,20211121
Lorraine,49,ahidalgo,20211121_1000,20211121
Midi-Pyrénées,12,ahidalgo,20211121_1000,20211121
Nord-Pas-de-Calais,24,ahidalgo,20211121_1000,20211121
Pays de la Loire,28,ahidalgo,20211121_1000,20211121
Picardie,41,ahidalgo,20211121_1000,20211121
Poitou-Charentes,40,ahidalgo,20211121_1000,20211121
Provence-Alpes-Côte d'Azur,29,ahidalgo,20211121_1000,20211121
Rhône-Alpes,18,ahidalgo,20211121_1000,20211121
Île-de-France,65,ahidalgo,20211121_1000,20211121
Alsace,24,ahidalgo,20211121_1100,20211121
Aquitaine,87,ahidalgo,20211121_1100,20211121
Auvergne,0,ahidalgo,20211121_1100,20211121
Basse-Normandie,0,ahidalgo,20211121_1100,20211121
Bourgogne,36,ahidalgo,20211121_1100,20211121
Bretagne,85,ahidalgo,20211121_1100,20211121
Centre-Val de Loire,67,ahidalgo,20211121_1100,20211121
Champagne-Ardenne,45,ahidalgo,20211121_1100,20211121
Corse,0,ahidalgo,20211121_1100,20211121
Franche-Comté,100,ahidalgo,20211121_1100,20211121
Haute-Normandie,0,ahidalgo,20211121_1100,20211121
Languedoc-Roussillon,53,ahidalgo,20211121_1100,20211121
Limousin,83,ahidalgo,20211121_1100,20211121
Lorraine,72,ahidalgo,20211121_1100,20211121
Midi-Pyrénées,0,ahidalgo,20211121_1100,20211121
Nord-Pas-de-Calais,23,ahidalgo,20211121_1100,20211121
Pays de la Loire,27,ahidalgo,20211121_1100,20211121
Picardie,0,ahidalgo,20211121_1100,20211121
Poitou-Charentes,61,ahidalgo,20211121_1100,20211121
Provence-Alpes-Côte d'Azur,34,ahidalgo,20211121_1100,20211121
Rhône-Alpes,46,ahidalgo,20211121_1100,20211121
Île-de-France,75,ahidalgo,20211121_1100,20211121
Alsace,43,ahidalgo,20211121_1200,20211121
Aquitaine,90,ahidalgo,20211121_1200,20211121
Auvergne,84,ahidalgo,20211121_1200,20211121
Basse-Normandie,74,ahidalgo,20211121_1200,20211121
Bourgogne,34,ahidalgo,20211121_1200,20211121
Bretagne,26,ahidalgo,20211121_1200,20211121
Centre-Val de Loire,39,ahidalgo,20211121_1200,20211121
Champagne-Ardenne,0,ahidalgo,20211121_1200,20211121
Corse,0,ahidalgo,20211121_1200,20211121
Franche-Comté,48,ahidalgo,20211121_1200,20211121
Haute-Normandie,27,ahidalgo,20211121_1200,20211121
Languedoc-Roussillon,100,ahidalgo,20211121_1200,20211121
Limousin,0,ahidalgo,20211121_1200,20211121
Lorraine,45,ahidalgo,20211121_1200,20211121
Midi-Pyrénées,16,ahidalgo,20211121_1200,20211121
Nord-Pas-de-Calais,50,ahidalgo,20211121_1200,20211121
Pays de la Loire,50,ahidalgo,20211121_1200,20211121
Picardie,26,ahidalgo,20211121_1200,20211121
Poitou-Charentes,86,ahidalgo,20211121_1200,20211121
Provence-Alpes-Côte d'Azur,40,ahidalgo,20211121_1200,20211121
Rhône-Alpes,18,ahidalgo,20211121_1200,20211121
Île-de-France,68,ahidalgo,20211121_1200,20211121
Alsace,37,ahidalgo,20211121_1300,20211121
Aquitaine,100,ahidalgo,20211121_1300,20211121
Auvergne,73,ahidalgo,20211121_1300,20211121
Basse-Normandie,0,ahidalgo,20211121_1300,20211121
Bourgogne,40,ahidalgo,20211121_1300,20211121
Bretagne,38,ahidalgo,20211121_1300,20211121
Centre-Val de Loire,12,ahidalgo,20211121_1300,20211121
Champagne-Ardenne,24,ahidalgo,20211121_1300,20211121
Corse,0,ahidalgo,20211121_1300,20211121
Franche-Comté,54,ahidalgo,20211121_1300,20211121
Haute-Normandie,17,ahidalgo,20211121_1300,20211121
Languedoc-Roussillon,59,ahidalgo,20211121_1300,20211121
Limousin,48,ahidalgo,20211121_1300,20211121
Lorraine,39,ahidalgo,20211121_1300,20211121
Midi-Pyrénées,19,ahidalgo,20211121_1300,20211121
Nord-Pas-de-Calais,29,ahidalgo,20211121_1300,20211121
Pays de la Loire,15,ahidalgo,20211121_1300,20211121
Picardie,47,ahidalgo,20211121_1300,20211121
